item_id,name,description,summary
99,Kal_wrnw,Genre : Nu Skool Breaks\nArtist : Lee Zu,
100,End of the Moonlight,Genre : Techno Pop\nArtist : Forte Escape,
101,XEUS,Genre : Melodic Trance\nArtist : XeoN,
102,D2,Genre : Progressive\nArtist : FIRST AID,
103,Deborah,Genre : Komplextro\nArtist : Paul Bazooka,
104,Liar,Genre : Techno Trance\nArtist : zts,
105,Sunny Side,Genre : Bright RnB\nArtist : CROOVE,
106,"Propose, Flower, Wolf PART.2",Genre : Progressive\nArtist : ReX,
107,Play The Future,Genre : Electro House\nArtist : Urbatronic Chopsticks,
108,Landscape,Genre : Melodic Trance\nArtist : Tsukasa,
109,Dear My Lady,Genre : HI-NRG\nArtist : Oriental ST8,
110,Beyond The Future,Genre : Technical House\nArtist : 7 Sequence,
111,Access,Genre : Techno Trance\nArtist : Sphazer,
112,Coastal Tempo,Genre : Up Tempo\nArtist : 3rd Coast,
113,Enemy Storm,Genre : Hardcore\nArtist : CROOVE,
114,SuperSonic,Genre : SpeedCore\nArtist : Planetboom,
115,Cozy Quilt,Genre : Jazz House\nArtist : bermei.inazawa,
116,Jupiter Driving,Genre : Techno Stock\nArtist : xxdbxx,
117,Give Me 5,Genre : Soulful House\nArtist : NDLee,
118,Dream Again,Genre : Ani Pop\nArtist : DINY,
119,Feel Ma Beat,Genre : Rap Metal\nArtist : NieN,
120,Memory of Beach,Genre : Dance Pop\nArtist : M2U,
121,The Clear Blue Sky,Genre : J-POP\nArtist : Tsukasa,
122,Jealousy,Genre : Marble House\nArtist : 3rd coast,
123,Whiteblue,Genre : Trance\nArtist : zts,
124,Honeymoon,Genre : Acid Pop\nArtist : Humming Urban Stereo,
125,Chemical Slave,Genre : Euro Dance\nArtist : XeoN,
126,Put'Em Up,Genre : Reggaeton-Like\nArtist : makou,
127,Cypher Gate,Genre : Hi-Break Core\nArtist : 7 Sequence,
128,Luv Flow (Funky House Mix),Genre : Funky House\nArtist : Paul Bazooka,
129,XLASHER,Genre : Slash Core\nArtist : Hosoe Shinji,
130,Say It From Your Heart,Genre : Classic Handbag\nArtist : makou,
131,Bamboo on Bamboo,Genre : Gabba\nArtist : Sampling Masters MEGA,
132,Fallin' in LUV,Genre : Luv Pop\nArtist : 3rd Coast,
133,Colours of Sorrow,Genre : Colours POP\nArtist : Tsukasa,
134,area7,Genre : Trance\nArtist : Sphazer,
135,outofctrl,Genre : Drum & Bass\nArtist : Mr.Funky,
136,rockstar,Genre : Electro House\nArtist : Mr.Funky,
137,Dark Prism,Genre : Melodic Trance\nArtist : Tsukasa,
138,Right Back,Genre : UK Hardcore\nArtist : TANUKI,
139,Grave Consequence,Genre : DNB Trance\nArtist : Tsukasa,
140,Beat U Down,Genre : Euro Beat\nArtist : makou,
141,BEE-U-TIFUL,Genre : Drum'n Bass\nArtist : FIRST AID,
142,Sweet Dream,Genre : House Dance\nArtist : Lin-G,
143,Showdown,Genre : Brass Funk\nArtist : LeeZu,
144,AD2222,Genre : Junkno\nArtist : CROOVE,
145,Over the Rainbow,Genre : Ani Pop\nArtist : Tsukasa,
146,Fly Away,Genre : Trance\nArtist : XeoN,
147,Wanna Be Your Lover,Genre : Euro Dance\nArtist : Laurent Newfield,
148,SuperNova,Genre : Rave\nArtist : cranky,
149,The Rain Maker,Genre : Epic Trance\nArtist : Paul Bazooka,
150,IF,Genre : Rock\nArtist : Vanilla Unity,
151,Melody,Genre : Cute POP\nArtist : bermei.inazawa/UC,
152,The Last Dance,Genre : india Hip-Hop\nArtist : Urbatronic Chopsticks,
153,Secret World,Genre : Teenpop\nArtist : Sweetune,
154,Lovely Hands,Genre : Space Pop\nArtist : Planetboom,
155,Ready Now,Genre : Euro Dance\nArtist : Ruby Tuesday,
156,Voyage,Genre : Broken Beat\nArtist : makou,
157,Shoreline,Genre : Balearic House\nArtist : Oriental ST8,
158,In My Dream,Genre : Mental Metal\nArtist : NDLee,
159,glory day,Genre : J-Rock\nArtist : BEXTER x Mycin.T,
160,glory day (Japanese Version),Genre : J-Rock\nArtist : BEXTER x Mycin.T,
161,Over Your Dream,Genre : Pop Rock\nArtist : xxdbxx,
162,Mind Control,Genre : Modern Hard Rock\nArtist : NieN,
163,The One,Genre : Happy 2Step\nArtist : Paul Bazooka,
164,Break!,Genre : Synth Pop Rock\nArtist : Mr.Funky,
165,A.I,Genre : Techno\nArtist : Forte Escape,
166,Nova (Mr.Funky Remix),Genre : Nu Skool Breakz\nArtist : Mr.Funky,
167,Zet (Mr.Funky Remix) ,Genre : Indie Dance\nArtist : Mr.Funky,
168,Masai (Electro House Mix),Genre : Electro House\nArtist : Paul Bazooka,
169,Enemy Storm (Dark Jungle Mix),Genre : Dark Jungle\nArtist : Paul Bazooka,
170,NB Ranger - Virgin Force,Genre : Hard Rock\nArtist : NieN,
171,NB POWER,Genre : AniRock\nArtist : NieN,
172,Hamsin,Genre : Trance\nArtist : makou,
173,OBLIVION (Rockin' Night Style),Genre : Rock\nArtist : NieN,
174,Lemonade,Genre : Lounge DnB\nArtist : M2U,
175,Silent Clarity,Genre : Art CORE\nArtist : Tsukasa,
176,NANO RISK,Genre : DnB Core\nArtist : Dayz,
177,Rolling On the Duck,Genre : Core & Metal\nArtist : NieN,
178,Don't Die,Genre : Drum'n Bass\nArtist : Paul Bazooka,
179,Remains Of Doom,Genre : Industrial Rock\nArtist : NieN,
180,CLOSER,Genre : Pure House\nArtist : 3rd Coast,
181,A Life With You,Genre : Broken Beat\nArtist : makou,
182,Nevermind,Genre : Epic Trance\nArtist : Paul Bazooka,
183,Binary World,Genre : Melodic Trance\nArtist : Tsukasa,
184,JBG,Genre : Yellow Hiphop\nArtist : CROOVE,
185,GET OUT,Genre : RnB Hip Hop\nArtist : NDLee,
186,Can We Talk,Genre : Acid jazz\nArtist : Forte Escape,
187,Never Ending TECHNIKA,Genre : Electro Funk\nArtist : Studio LAY-BACK,
188,Child of Night,Genre : Electro House\nArtist : GOTH,
189,KILLER BEE,Genre : Trap Hop\nArtist : GOTH,
190,Shadow Flower,Genre : Pop\nArtist : ned,
191,U.A.D,Genre : Future House\nArtist : HAYAKO,
10001,Q Starter Pack,"Consist of Music pack 1~3, Black note, Anti Gameover, Blue Jean Skin.","3 Music Packs\nItem, Note, Skin?8,9,10,11,12,13,14,15,16,17,18,19,40001,90006,100006"
10002,Q Power Pack,"Consist of Music pack 1~5, NB Ranger note, Blue Jean, Leopard Skin.","5 Music Packs\nNote, Skin?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,40001,90007,100006,100007"
10003,Q Premium Pack,"Consist of Music pack 1~8, Crystal note, Blue Jean, Leopard, Hard-boiled Skin.","8 Music Packs\nNote, Skin?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40001,90008,100006,100007,100008"
10004,Q Complete BOX,"Consist of Music pack 1~11, Exclusive skin, exclusive 4 new songs! Now on sale with amazing price!!","11 Music Packs\nExclusive Songs, Skin?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,40001,90006,90007,90008,100006,100007,100008,100009"
11001,NEW STARTER PACK,NEW STARTER PACK,
11002,HYBRID PACK,HYBRID PACK,
11003,SUPER VALUE 30,SUPER VALUE 30,
11004,CHRISTMAS PACK,CHRISTMAS PACK,
11005,4 LINE STARTER PACK,4 LINE STARTER PACK,
11006,Director's Choice PACK,Director's Choice PACK,
11007,OLD & NEW Pack,OLD & NEW Pack,
20001,Q Music Pack 1,Q Music Pack 1\nConsist of 4 songs.,"8,9,10,11"
20002,Q Music Pack 2,Q Music Pack 2\nConsist of 4 songs.,"12,13,14,15"
20003,Q Music Pack 3,Q Music Pack 3\nConsist of 4 songs.,"16,17,18,19"
20004,Q Music Pack 4,Q Music Pack 4\nConsist of 4 songs.,"20,21,22,23"
20005,Q Music Pack 5,Q Music Pack 5\nConsist of 4 songs.,"24,25,26,27"
20006,Q Music Pack 6,Q Music Pack 6\nConsist of 4 songs.,"28,29,30,31"
20007,Q Music Pack 7,Q Music Pack 7\nConsist of 4 songs.,"32,33,34,35"
20008,Q Music Pack 8,Q Music Pack 8\nConsist of 4 songs.,"36,37,38,39"
20009,Q Music Pack 9,Q Music Pack 9\nConsist of 4 songs.,"40,41,42,43"
20010,Q Music Pack 10,Q Music Pack 10\nConsist of 4 songs.,"44,45,46,47"
20011,Q Music Pack 11,Q Music Pack 11\nConsist of 4 songs.,"48,49,50,51"
20012,Q Music Pack 12,Q Music Pack 12\nConsist of 4 songs.,"56,57,59,72"
20013,Q Music Pack 13,Q Music Pack 13\nConsist of 4 songs.,"60,61,62,63"
20014,Q Music Pack 14,Q Music Pack 14\nConsist of 4 new songs which were exclusive for Complete Box.,"52,53,54,55"
20015,Q Music Pack 15,Q Music Pack 15\nConsist of 4 songs.,"64,65,67,73"
20016,Q Music Pack 16,Q Music Pack 16\nConsist of 4 songs.,"74,75,76,77"
20017,Q Music Pack 17,Q Music Pack 17\nConsist of 4 songs.,"78,79,80,81"
20018,Q Music Pack 18,Q Music Pack 18\nConsist of 4 songs.,"82,83,84,85"
20019,Q Music Pack 19,Q Music Pack 19\nConsist of 4 songs.,"58,66,86,87"
20020,Q Music Pack 20,Q Music Pack 20\nConsist of 4 songs.,"68,69,70,71"
20021,Q Music Pack 21,Q Music Pack 21\nConsist of 4 songs.,"88,89,90,91"
20022,Q Music Pack 22,Q Music Pack 22\nConsist of 4 songs.,"92,93,94,95"
20023,Q Music Pack 23,Q Music Pack 23\nConsist of 4 songs.,"96,97,98,99"
20024,Q Music Pack 24,Q Music Pack 24\nConsist of 4 songs.,"100,101,102,103"
20025,Q Music Pack 25,Q Music Pack 25\nThis pack can be played for free without purchasing.,"104,105,106,107"
20026,Q Music Pack 26,Q Music Pack 26\nConsist of 4 songs.,"108,109,110,111"
20027,Q Music Pack 27,Q Music Pack 27\nConsist of 4 songs.,"112,113,114,115"
20028,Q Music Pack 28,Q Music Pack 28\nConsist of 4 songs.,"116,117,118,119"
30001,Jimmy,Partner item with\nExp-boost.,EXP + {0}%
30002,Xiah,Partner item with\nExp-boost.,EXP + {0}%
30003,SingSing,Partner item with\nExp-boost.,EXP + {0}%
30004,Jessie,Partner item with\nExp-boost.,EXP + {0}%
30005,Stella,Partner item with\nExp-boost.,EXP + {0}%
30006,Squarehead,Partner item with\nMAX point-boost.,MAXPOINT + {0}%
30007,Eggbean,Partner item with\nMAX point-boost.,MAXPOINT + {0}%
30008,TED,Partner item with\nMAX point-boost.,MAXPOINT + {0}%
30009,Kaho,Partner item with\nMAX point-boost.,MAXPOINT + {0}%
30010,Planeta,Partner item with\nMAX point-boost.,MAXPOINT + {0}%
30011,Miran,Partner item with\nLife-Gauge recovery boost.,RECOVER + {0}%
30012,Blackswan,Partner item with\nLife-Gauge recovery boost.,RECOVER + {0}%
30013,Angel,Partner item with\nLife-Gauge recovery boost.,RECOVER + {0}%
30014,Lin,Partner item with\nLife-Gauge recovery boost.,RECOVER + {0}%
30015,H.J,Partner item with\nLife-Gauge recovery boost.,RECOVER + {0}%
30016,Knight,Partner item with\nMaximum Life-Gauge boost.,HP + {0}
30017,Gina.D,Partner item with\nMaximum Life-Gauge boost.,HP + {0}
30018,Dana,Partner item with\nMaximum Life-Gauge boost.,HP + {0}
30019,Rossi,Partner item with\nMaximum Life-Gauge boost.,HP + {0}
30020,Seha,Partner item with\nMaximum Life-Gauge boost.,HP + {0}
39001,Jimmy,Partner item with\nExp-boost. (Gifted item),
39002,Squarehead,Partner item with\nMAX point-boost. (Gifted item),
39003,Miran,Partner item with\nLife-Gauge recovery boost (Gifted item),
39004,Knight,Partner item with\nMaximum Life-Gauge boost. (Gifted item),
39101,Squarehead,Partner item with\nMAX point-boost. (Gifted item),
40001,Anti Gameover,Game does not end\nduring the music play.,No Gameover
40002,Anti Effector,Neutralize embedded effects.,No Forced-effects
49001,Anti Gameover,Game does not end\nduring the music play (Gifted item),No Gameover
49002,Anti Gameover,Game does not end\nduring the music play (Gifted item),No Gameover
50001,2500 MAX,Charge\n2500 MAX POINT.,Charge {0} MAX
50002,13250 MAX,Charge\n13250 MAX POINT.,Charge {0} MAX
50003,27500 MAX,Charge\n27500 MAX POINT.,Charge {0} MAX
50004,43125 MAX,Charge\n43125 MAX POINT.,Charge {0} MAX
50005,75000 MAX,Charge\n75000 MAX POINT.,Charge {0} MAX
59001,150 MAX,Charge\nMAX POINT.,
59002,3000 MAX,send MAX POINT as a gift.,
59003,2500 MAX,send MAX POINT as a gift.,
59004,10000 MAX,send MAX POINT as a gift.,
59005,30000 MAX,send MAX POINT as a gift.,
59006,1000 MAX,send MAX POINT as a gift.,
59007,5000 MAX,send MAX POINT as a gift.,
59008,50000 MAX,Includes Package ITEM,
59009,10000 MAX,Includes Package ITEM,
59010,100000 MAX,Includes SKIN ITEM reward,
59101,1500 MAX,send MAX POINT as a gift.,
60001,10 Q,Charge\n10 Q POINT.,Charge {0} Q
60002,60 Q,Charge\n60 Q POINT.,Charge {0} Q
60003,165 Q,Charge\n165 Q POINT.,Charge {0} Q
60004,350 Q,Charge\n350 Q POINT.,Charge {0} Q
60005,540 Q,Charge\n540 Q POINT.,Charge {0} Q
60006,750 Q,Charge\n750 Q POINT.,Charge {0} Q
60007,12 Hours FREE PASS,Enjoy all music for free during this time!\n[9EEC32]The effect of FREE PASS will be applied immediately upon purchase.[-],ALL SONG & PATTERN\nFREE PLAY
61001,10 Q,send Q POINT as a gift.,
61002,20 Q,send Q POINT as a gift.,
61003,50 Q,send Q POINT as a gift.,
61004,100 Q,send Q POINT as a gift.,
61005,150 Q,send Q POINT as a gift.,
61006,200 Q,send Q POINT as a gift.,
61007,250 Q,send Q POINT as a gift.,
61008,300 Q,send Q POINT as a gift.,
62001,30 Q,Includes Package ITEM,
62002,70 Q,Includes Package ITEM,
70001,ANTI BREAK Lv.1,Change BREAK into MAX 1% for 1 time.,
70002,ANTI BREAK Lv.2,Change BREAK into MAX 1% for 2 times.,
70003,ANTI BREAK Lv.3,Change BREAK into MAX 1% for 3 times.,
70004,ANTI BREAK Lv.4,Change BREAK into MAX 1% for 4 times.,
70005,ANTI BREAK Lv.5,Change BREAK into MAX 1% for 5 times.,
70006,ANTI BREAK Lv.6,Change BREAK into MAX 1% for 6 times.,
70007,ANTI BREAK Lv.7,Change BREAK into MAX 1% for 7 times.,
70008,ANTI BREAK Lv.8,Change BREAK into MAX 1% for 8 times.,
70009,ANTI BREAK Lv.9,Change BREAK into MAX 1% for 9 times.,
70010,ANTI BREAK Lv.10,Change BREAK into MAX 100% for 10 times.,
70011,FEVER PLUS Lv.1,FEVER lasts for 5.5 second. Can be triggered 2 times.,
70012,FEVER PLUS Lv.2,FEVER lasts for 6 second. Can be triggered 2 times.,
70013,FEVER PLUS Lv.3,FEVER lasts for 6.5 second. Can be triggered 2 times.,
70014,FEVER PLUS Lv.4,FEVER lasts for 7 second. Can be triggered 2 times.,
70015,FEVER PLUS Lv.5,FEVER lasts for 7.5 second. Can be triggered 2 times.,
70016,FEVER PLUS Lv.6,FEVER lasts for 8 second. Can be triggered 2 times.,
70017,FEVER PLUS Lv.7,FEVER lasts for 8.5 second. Can be triggered 2 times.,
70018,FEVER PLUS Lv.8,FEVER lasts for 9 second. Can be triggered 2 times.,
70019,FEVER PLUS Lv.9,FEVER lasts for 9.5 second. Can be triggered 2 times.,
70020,FEVER PLUS Lv.10,FEVER lasts for 10 second. Can be triggered 3 times.,
70021,GAUGE REFILL Lv.1,Recover 7% of total gauge when gauge exhausts.,
70022,GAUGE REFILL Lv.2,Recover 14% of total gauge when gauge exhausts.,
70023,GAUGE REFILL Lv.3,Recover 14% of total gauge when gauge exhausts.,
70024,GAUGE REFILL Lv.4,Recover 14% of total gauge when gauge exhausts.,
70025,GAUGE REFILL Lv.5,Recover 35% of total gauge when gauge exhausts.,
70026,GAUGE REFILL Lv.6,Recover 42% of total gauge when gauge exhausts.,
70027,GAUGE REFILL Lv.7,Recover 49% of total gauge when gauge exhausts.,
70028,GAUGE REFILL Lv.8,Recover 56% of total gauge when gauge exhausts.,
70029,GAUGE REFILL Lv.9,Recover 63% of total gauge when gauge exhausts.,
70030,GAUGE REFILL Lv.10,Recover 100% of total gauge when gauge exhausts.,
90001,Rainbow,Rainbow Note\nwith various color.,Change Note Design
90002,Mirrorball,Mirror-ball Note\nwith Friday Night Fever.,Change Note Design
90003,Speaker,Speaker Note\nwith impressive booming effect.,Change Note Design
90004,Radar,Radar Note\nwith radiowave resemblance.,Change Note Design
90005,LED,LED Note\nwill give you the high-tech feeling.,Change Note Design
90006,Black,Black Note\nwith classy feeling.,Change Note Design
90007,NB Ranger,NB Ranger Note\nwith the mascot of DJMAX.,Change Note Design
90008,Crystal,Crystal Note\nwith high crystal-bright effect.,Change Note Design
90009,Son of Sun,Son of Sun Note\nwith resemblance to the God of the Sun.,Change Note Design
91001,CHRISTMAS,HAPPY CHRISTMAS !\nThis item can be used unlimited.,Change Note Design
99101,Crystal,Crystal Note\nwith high crystal-bright effect.,Change Note Design
100001,Yellow,Yellow Skin.\nApplied to the top area of the screen.,Change Skin Design
100002,Watermelon,Watermelon Skin.\nApplied to the top area of the screen.,Change Skin Design
100003,Deepblue,Deep Blue Skin.\nApplied to the top area of the screen.,Change Skin Design
100004,Pink,Pink Skin.\nApplied to the top area of the screen.,Change Skin Design
100005,Red,Red Metal Skin.\nApplied to the top area of the screen.,Change Skin Design
100006,BlueJean,Blue Jean Skin.\nApplied to the top area of the screen.,Change Skin Design
100007,Leopard,Exclusive Skin.\nApplied to the top area of the screen.,Change Skin Design
100008,Hardboiled,Exclusive Skin.\nApplied to the top area of the screen.,Change Skin Design
100009,Scratch,Exclusive Skin.\nApplied to the top area of the screen.,Change Skin Design
109101,Metal,Exclusive skin for Friend Invitation.\nApplied to the top area of the screen.,Change Skin Design
109201,Wooden,Exclusive skin for Coupon Code.\nApplied to the top area of the screen,Change Skin Design
109202,Harbor,Exclusive skin for Coupon Code.\nApplied to the top area of the screen,Change Skin Design
110001,CHRISTMAS,HAPPY CHRISTMAS !\nApplied to the top area of the screen.,Change Skin Design
110002,Hello 2018,This skin was created to commemorate 2018.\nApplied to the top area of the screen.,Change Skin Design
110003,SNOW MADNESS,FEB.SNOW.PASSION.\nApplied to the top area of the screen.,Change Skin Design
110004,RED SQUARE,2018.06. Live It Up!! \nApplied to the top area of the screen.,Change Skin Design
110005,FULL MOON,It was made to celebrate the big holiday of KOREA.\nApplied to the top area of the screen.,Change Skin Design
110006,TECHNICOLOR,We Love TECHNIKA!! \nApplied to the top area of the screen.,Change Skin Design
190001,Rainbow,Rainbow Note\nwith various color.,Change Note Design
190002,Mirrorball,Mirror-ball Note\nwith Friday Night Fever.,Change Note Design
190003,Speaker,Speaker Note\nwith impressive booming effect.,Change Note Design
190004,Radar,Radar Note\nwith radiowave resemblance.,Change Note Design
190005,LED,LED Note\nwill give you the high-tech feeling.,Change Note Design
190006,Black,Black Note\nwith classy feeling.,Change Note Design
190007,NB Ranger,NB Ranger Note\nwith the mascot of DJMAX.,Change Note Design
190008,Crystal,Crystal Note\nwith high crystal-bright effect.,Change Note Design
190009,Son of Sun,Son of Sun Note\nwith resemblance to the God of the Sun.,Change Note Design
190010,CHRISTMAS,HAPPY CHRISTMAS! \nThis item can be used unlimited.,Change Note Design
190011,TECHNICOLOR,We Love TECHNIKA!! \nThis item can be used unlimited.,Change Note Design
